Time,Value
1,0
2,-0.090263242
3,0.749995372
4,1.247886681
5,0.131281716
6,0.56261912
7,2.292577411
8,2.543160542
9,3.456541698
10,3.284079993
11,2.111860162
12,3.157541983
13,3.128934119
14,4.155446149
15,2.769594124
16,2.185986928
17,0.876222531
18,2.130436819
19,2.05269702
20,1.81405401
21,1.507341564
22,2.158686366
23,2.437351419
24,2.153337782
25,2.530827689
26,2.67611884
27,3.221899191
28,1.067534463
29,1.823551012
30,1.069574299
31,0.433793397
32,-0.766519224
33,-0.591648593
34,-0.276989527
35,-0.188942999
36,-0.466214925
37,-1.074740033
38,0.797106178
39,1.625137554
40,0.61019465
41,1.371930782
42,0.572666662
43,1.087920109
44,0.723909665
45,3.313072879
46,3.815177048
47,3.665615462
48,3.060252498
49,3.299432095
50,2.699056838
51,2.029821659
52,2.674500207
53,3.711416476
54,3.913681094
55,2.611160787
56,3.448952281
57,3.027397483
58,3.679753728
59,3.595110512
60,3.646251262
61,3.244648977
62,3.301498083
63,0.948460378
64,0.422595512
65,-1.168932801
66,-0.362321398
67,-1.063714882
68,-0.580279183
69,-0.775017465
70,-1.051376978
71,-1.355537904
72,-0.475452466
73,2.879130198
74,2.063625903
75,2.415983496
76,0.844772594
77,2.363701504
78,2.666352759
79,2.457039417
80,2.349203348
81,2.618498564
82,2.28770598
83,2.446456539
84,3.020367887
85,2.089913814
86,0.20653932
87,0.170334561
88,-1.237384759
89,-2.577574955
90,-2.040013772
91,-1.484263192
92,-3.823227362
93,-4.014762859
94,-1.206816142
95,-1.525907293
96,-2.184690348
97,-2.174869581
98,-1.860327545
99,-1.119708007
100,-0.154805166
101,1.826061378
102,1.312881443
103,3.897880035
104,3.439467265
105,5.299743333
106,4.527464781
107,3.572520692
108,3.503288697
109,4.606933613
110,3.942171657
111,1.862351449
112,1.811498615
113,3.102641545
114,2.811326606
115,3.156226355
116,3.895810969
117,3.845876276
118,3.445059734
119,1.440664553
120,-0.021927847
121,0.278414683
122,1.90027668
123,1.183849118
124,0.051926835
125,0.985735286
126,2.994798818
127,1.268222614
128,3.068043272
129,1.409060765
130,-0.036805003
131,-2.136548296
132,-1.819655597
133,-2.282481667
134,-1.17447397
135,-1.069448821
136,-0.803972507
137,-1.751041881
138,-1.575186041
139,-1.618467331
